"","A..4.."
"814","USA:Alaska:Tanaga Island"
"815","Saudi Arabia:Jazair Farasan:North"
"816","Brazil:Ilha Caviana"
"817","USA:Pea Island"
"818","French Polynesia:Ua Huka"
"819","Antarctica:White Island"
"820","USSR:Ostrov Sal'm"
"821","USA:Maine:Mount Desert Island"
"822","Maldives:?"
"823","Indonesia:Padang:Sumatra"
"824","Indonesia:Halmahera"
"825","USA:Ocracoke Island"
"826","Finland:?"
"827","Maldives:?"
"828","Chile:Isla Navarino"
"829","Falkland Islands:Annenkov Island"
"830","Maldives:?"
"831","Papua New Guinea:Buka"
"832","Chile:Isla Reina Adelaida"
"833","USA:Alaska:Yunaska Island"
"834","Micronesia:Yap"
"835","Samoa:Upolu"
"836","Marshall Islands:Ebadon"
"837","Maldives:?"
"838","Japan:Okinawa"
"839","USSR:Ostrov Yarok"
"840","Vietnam:?"
"841","Canada:Cockburn Island"
"842","Japan:Miyake Jima"
"843","Maldives:?"
"844","Bahamas:Rum Cay"
"845","Finland:?"
"846","USA:Alaska:Kagamil Island"
"847","Antarctica:Charcot Island"
"848","Indonesia:Natuna Besar"
"849","Guinea-Bissau:?"
"850","Chile:Isla Pacheco"
"851","Paracel Islands:Tree Island"
"852","USSR:?"
"853","China:Donghai Dao"
"854","Panama:Isla Jicaron"
"855","Pakistan:Tsho Marari Lake"
"856","USSR:Ostrov Karaginskiy"
"857","USA:Alaska:?"
"858","Greenland:?"
"859","Indonesia:Moa"
"860","USSR:Ostrov Belyy"
"861","USSR:Ostrov Ogurchinskiy"
"862","Indonesia:?"
"863","Chile:Isla Capitan Aracena"
"864","Japan:Tokuno Shima"
"865","UK:Scotland:Saint Kilda"
"866","Greenland:Kuhn O"
"867","Denmark:Als"
"868","Mexico:Laguna Madre"
"869","Greenland:?"
"870","USA:Massachusettes:Martha's Vineyard"
"871","Indonesia:Togin"
"872","Chile:?"
"873","Bahamas:Long Cay"
"874","Antarctica:?"
"875","Mexico:Carmen Island"
"876","France:Ile Saint-Paul"
"877","American Samoa:Tutuila"
"878","Indonesia:Buton"
"879","Mexico:San Jose Island"
"880","Canada:New World Island"
"881","USA:Outer Island"
"882","Maldives:?"
"883","Indonesia:Sawu"
"884","Solomon Islands:Steward"
"885","California:San Clemente Island"
"886","Norway:Svalbard:Spitsbergen"
"887","Guinea-Bissau:?"
"888","Indonesia:Tahulandang"
"889","Myanmar:Bilugyun Island"
"890","USA:Alaska:Sitkalidak Island"
"891","Canada:Borden Island"
"892","Turks and Caicos:East Caicos Island"
"893","Bahrain"
"894","Solomon Islands:Arundel"
"895","Antarctica:Ross Island"
"896","Bahamas:Andros Island:Northern Bight"
"897","Denmark:Sjaelland"
"898","India:North Sentinal Island"
"899","Philippines:Magalawa Island"
"900","Indonesia:Damar"
"901","Indonesia:Rupat"
"902","Indonesia:Kasiruta"
"903","Brazil:?"
"904","India:Kavaratti Island"
"905","Indonesia:Bangka"
"906","Indonesia:Tobingtinggi"
"907","Cuba:Cayos de las Doce Leguas"
"908","Paracel Islands:Cresent Group:3"
"909","Solomon Islands:Maramasike"
"910","Grenada"
"911","Spain:Minorca"
"912","Bahamas:Eleuthera Island"
"913","Mexico:Guadalupe Island"
"914","Greece:Crete"
"915","Japan:Hokkaido"
"916","Brazil:Ihla Mexiana"
"917","Solomon Islands:Parara"
"918","South Korea:Ullung Do"
"919","Antarctica:Korff Ice Rise"
"920","Maldives:?"
"921","Chile:Isla San Felix"
"922","Chile:Isla Mornington"
"923","New Zealand:Pukapuka"
"924","USA:Florida:Hutchinson Island"
"925","Cayman Islands:Grand Cayman"
"926","Northern Mariana Islands:Sarigan"
"927","USA:Texas:San Jose Island"
"928","Philippines:Guimaras"
"929","Marshall Islands:Sibylla"
"930","Fiji:Vanua Masi"
"931","Antarctica:Pullen Island"
"932","Fiji:Nairai"
"933","Virgin Islands:Saint Thomas"
"934","Indonesia:Babar"
"935","Fiji:Ongea Levu"
"936","USA:Florida:Elliott Island"
"937","Maldives:?"
"938","Antarctica:Drygalski Island"
"939","USA:Alaska:Kodiak Island"
"940","Antarctica:Steventon Island"
"941","Antarctica:Sherman Island"
"942","Paracel Islands:Triton Island"
"943","Myanmar:Cheduba Island"
"944","USSR:Novaya Zemlya:North"
"945","Antarctica:Robertson Island"
"946","Indonesia:Melilis"
"947","Saudi Arabia:Jazair Farasan:South"
"948","Kiribati:Onotoa"
"949","Paracel Islands:Woody Island"
"950","South Korea:?"
"951","China:Liuheng Dao"
"952","USSR:Ostrov Malyy Lyakhovskiy"
"953","USA:Core Banks"
"954","Tuvalu:Nukufetau"
"955","USSR:Ostrov Kolguyev"
"956","Fiji:Waya"
"957","USA:Alaska:Akutan Island"
"958","UK:Scotland:Ruhm"
"959","Solomon Islands:Rendova"
"960","France:Belle-Ile"
"961","Canary Islands:Gomera"
"962","Brazil:Martin Vaz Island"
"963","USSR:Ostrov Vozrozhdeniya"
"964","India:Kiltan Island"
"965","Azores:Terceira"
"966","Thailand:Ko Yao Yai"
"967","Canada:Swindle Island"
"968","USSR:Muhu"
"969","Philippines:Basilan"
"970","USA:Florida:Marathon Key"
"971","Canada:Foley Island"
"972","Japan:Iwo Jima"
"973","Canada:Harrison Island"
"974","Indonesia:Muna"
"975","Papua New Guinea:Manam"
"976","Denmark:Fyn"
"977","Greece:Paros"
"978","Canada:Tukarak Island"
"979","Maldives:?"
"980","Venezuela:Isla Orchila"
"981","Chile:?"
"982","Madagascar:Nosy Be"
"983","India:Havelock Island"
"984","Virgin Islands:Tortola"
"985","New Caledonia:Ile Koutoumo"
"986","Mexico:Isla Magdelena"
"987","Cuba:Cayo Romano"
"988","Canary Islands:Fuerteventura"
"989","Chile:?"
"990","Indonesia:Bengkalis"
"991","Venezuela:La Blanquilla"
"992","Greenland:?"
"993","USSR:Ozero Balkhash"
"994","Philippines:Ticao"
"995","Antarctica:?"
"996","Canada:Roderick Island"
"997","Vanuatu:Pentecost"
"998","Fiji:Matuku"
"999","Australia:Bigge Island"
"1000","Canada:Mill Island"
"1001","Kiribati:Makin"
"1002","South Korea:Namhae Do"
"1003","Canada:Texada Island"
"1004","Maldives:?"
"1005","Chile:Isla Alejandra Selkirk"
"1006","Canary Islands:Gran Canaria"
"1007","Maldives:?"
"1008","Kiribati:?"
"1009","Canada:Charlton Island"
"1010","Vietnam:Dao Bach Long Vi"
"1011","USSR:?"
"1012","Mauritius:Rodrigues"
"1013","Panama:Isla de Coiba"
"1014","Northern Mariana Islands:Rota"
"1015","Japan:Nakadori Jima"
"1016","Philippines:Burias"
"1017","Jamaica"
"1018","India:Landfall Island"
"1019","Thailand:Ko Phra Thong"
"1020","Marshall Islands:Enewetok"
"1021","California:Santa Cruz Island"
"1022","Chile:?"
"1023","Indonesia:Bawean"
"1024","Vanuatu:Tanna"
"1025","Paracel Islands:West Sand Island"
"1026","Greece:Mikonos"
"1027","Antarctica:Lavoisier Island"
"1028","USA:Mississippi:Horn Island"
"1029","Canada:Melville Island"
"1030","Mauritania:Ile Tidra"
"1031","Australia:Macquarie Island"
"1032","USSR:Ostrov Nordenshelda"
"1033","Tuvalu:Nanumea"
"1034","Greece:Skopelos"
"1035","Norway:Vannoy"
"1036","Spain:Cabo de Palos"
"1037","Paracel Islands:Amphitrite Group:4"
"1038","Antarctica:Smyley Island"
"1039","USA:Texas:Peninsula Island"
"1040","French Polynesia:Niau"
"1041","Solomon Islands:Utupua"
"1042","Fiji:Fulanga"
"1043","USA:Alaska:Uganik Island"
"1044","United Arab Emirates:Marawwah"
"1045","Papua New Guinea:Long Island"
"1046","USSR:?"
"1047","Canada:Graham Island-Cold"
"1048","Chile:Isla Guaitecas"
"1049","Greenland:Shannon"
"1050","Canada:Big Island"
"1051","India:Pitti Island"
"1052","USA:Alaska:Shuyak Island"
"1053","France:Kerguelen Island:?"
"1054","Canada:Prescott Island"
"1055","Greenland:Milneland"
"1056","China:Zhoushan Dao"
"1057","India:Sand Cay"
"1058","Chile:Isle Guafo"
"1059","India:Rutland Island"
"1060","American Samoa:Tau"
"1061","Canada:Prince of Wales Island"
"1062","Chile:?"
"1063","Vietnam:Dao Ching Lan Yan"
"1064","Thailand:Ko Yao Noi"
"1065","Canada:Fogo Island"
"1066","Antarctica:Brabant Island"
"1067","USA:Johnston Island"
"1068","Maldives:?"
"1069","Virgin Islands:Anegada"
"1070","Indonesia:Padang:Borneo"
"1071","USSR:?"
"1072","India:Tarasa Dwip"
"1073","Australia:Tasmania"
"1074","Netherlands:Schiermonnikoog"
"1075","Portugal:Cabo de Santo Maria"
"1076","New Zealand:Great Barrier Island"
"1077","Vietnam:Cu Lao Thu"
"1078","USA:Long Beach Island"
"1079","Mexico:Espiritu Santo Island"
"1080","Cuba:Cayos Cinco Balas"
"1081","Indonesia:Ceram"
"1082","France:Ile de Noirmoutier"
"1083","Indonesia:Bali"
"1084","South Korea:Paengnyong Do"
"1085","Chile:Isla Juan Fernandez"
"1086","Greenland:?"
"1087","Sri Lanka"
"1088","USSR:Ostrova Belayazemiya"
"1089","Canada:Lake Winnipeg"
"1090","Canada:Jens Munk Island"
"1091","Canada:Graham Island"
"1092","Spain:Ibiza"
"1093","China:Makung"
"1094","Cape Verde:Boa Vista"
"1095","Chile:Isla Piazzi"
"1096","Maldives:?"
"1097","Norway:Mageroya"
"1098","Maldives:?"
"1099","Vietnam:Dao Car Bau"
"1100","India:East Island"
"1101","Hawaii:Kaula"
"1102","Fiji:Totoya"
"1103","Ecuador:Isla Santa Cruz"
"1104","Canada:Taylor Island"
"1105","USA:Alaska:Sitkinak Island"
"1106","Guinea-Bissau:Formosa"
"1107","Finland:Kimito"
"1108","Canary Islands:Hierro"
"1109","Vietnam:Dao Cu Xu"
"1110","New Zealand:Antipodes Island"
"1111","Papua New Guinea:Malendok"
"1112","Australia:Barrow Island"
"1113","Marshall Islands:Mili"
"1114","USSR:Ostrov Makanrushi"
"1115","Indonesia:Batam"
"1116","USSR:?"
"1117","USA:Alaska:Adak Island"
"1118","Maldives:?"
"1119","New Caledonia:Grand Recif de Oatope"
"1120","Guinea-Bissau:?"
"1121","Barbuda"
"1122","Indonesia:Mangole"
"1123","Indonesia:Unauna"
"1124","USSR:Ostrov Russkiy"
"1125","USA:Florida:Stock Island"
"1126","Solomon Islands:Ranongga"
"1127","China:Chongming Dao"
"1128","Marshall Islands:Wake Island"
"1129","Australia:Magnetic Island"
"1130","Norway:Hinnoya"
"1131","Australia:Melville Island"
"1132","Greece:Naxos"
"1133","Indonesia:Breueh"
"1134","Papua New Guinea:Bougainville"
"1135","USSR:Novaya Zemlya:South"
"1136","Solomon Islands:Kolombangara"
"1137","Australia:Snake Island"
"1138","Canada:Salisbury Island"
"1139","USA:Portsmouth Island"
"1140","USSR:?"
"1141","Brazil:Ilha Curua"
"1142","Myanmar:Narcondam Island"
"1143","Brazil:Ilha de Maraca"
"1144","Indonesia:Morotai"
"1145","Australia:Coronation Island"
"1146","Chile:?"
"1147","Oman:Al Hallaniyah"
"1148","Puerto Rico"
"1149","Solomon Islands:Bellona Island"
"1150","Kiribati:Arorae"
"1151","Denmark:Vagar"
"1152","Philippines:Sulu"
"1153","USA:Washington:Whidbey Island"
"1154","Hawaii:Sand Island"
"1155","Vanuatu:Efate"
"1156","Thailand:Ko Lanta Yai"
"1157","Japan:Hirado Jima"
"1158","Canada:Killiniq Island"
"1159","Paracel Islands:Pattle Island"
"1160","USA:Florida:Key West"
"1161","Indonesia:Saparua"
"1162","Falkland Islands:South Georgia"
"1163","Cuba:Cayo Coco"
"1164","Brazil:?"
"1165","USSR:Lena Delta:4"
"1166","USA:Angaur"
"1167","Antarctica:Laurie Island"
"1168","Antarctica:Spaatz Island"
"1169","Maldives:?"
"1170","Hawaii:Hawaii"
"1171","Spain:Formentera"
"1172","USA:Chincoteague Island"
"1173","Solomon Islands:Ke Loma"
"1174","Marshall Islands:Namu"
"1175","USSR:Ostrov Ayon"
"1176","Chile:?"
"1177","Antarctica:?"
"1178","Sierra Leone:Sherbro Island"
"1179","Cuba:Cayo Anclitas"
"1180","Maldives:?"
"1181","Virgin Islands:Saint John"
"1182","Greenland:?"
"1183","Ecuador:Isla Marchena"
"1184","Malaysia:Tioman"
"1185","Greece:Kea"
"1186","Australia:French Island"
"1187","USA:Alaska:Chuginadak Island"
"1188","USSR:Ostrov Shmidta"
"1189","Denmark:Laeso"
"1190","Indonesia:Mendanau"
"1191","Norway:Svalbard:Jan Mayen"
"1192","Azores:Flores"
"1193","Canada:Manitoulin Island"
"1194","Indonesia:Serasan"
"1195","USSR:Ostrov Pushkareva"
"1196","Chile:?"
"1197","California:Santa Rosa Island"
"1198","Greenland:?"
"1199","Philippines:Saboon Island"
"1200","USSR:Ostrov Starokadomskogo"
"1201","Indonesia:Komodo"
"1202","UK:Scotland:Benbecula"
"1203","USSR:?"
"1204","Indonesia:?"
"1205","Hawaii:Lanai"
"1206","Kiribati:Abemama"
"1207","Papua New Guinea:Tagula"
"1208","Brazil:Ilha de Marajo"
"1209","USA:Howland Island"
"1210","Indonesia:Rumberpon"
"1211","Maldives:?"
"1212","Tuvalu:Nui"
"1213","Mexico:San Esteban Island"
"1214","USA:Alaska:Saint Paul Island"
"1215","Solomon Islands:Vaghena"
"1216","USSR:?"
"1217","Indonesia:Sangeang"
"1218","Fiji:Conway Reef"
"1219","Cayman Islands:Little Cayman"
"1220","Indonesia:Kangean"
"1221","Australia:Endyalgout Island"
"1222","Indonesia:Pisang"
"1223","Kiribati:Beru"
"1224","Greenland:Nansen Land"
"1225","Indonesia:Tuangku"
"1226","Hawaii:Kahoolawe"
"1227","USSR:Rybinskoye Vodokhranilishche"
"1228","Greenland:?"
"1229","Vietnam:Ile De Quan Lan"
"1230","Solomon Islands:Ovau"
"1231","Greenland:?"
"1232","Bahamas:Samana Cay"
"1233","Iraq:?"
"1234","Indonesia:Maratua"
"1235","Canada:?"
"1236","USSR:Ostrov Shokal'skogo"
"1237","New Zealand:Rangitoto Island"
"1238","Norway:Svalbard:Kvitoya"
"1239","Norway:Svalbard:Byornoya"
"1240","Papua New Guinea:Liot"
"1241","Iraq:Lake ?"
"1242","Philippines:?"
"1243","Australia:Augustus Island"
"1244","Maldives:?"
"1245","Bahamas:San Salvador"
"1246","Canada:Ile Lameque"
"1247","Antarctica:Thurston Island"
"1248","Chile:?"
"1249","Tuvalu:Vaitupu"
"1250","France:Ile d'Yeu"
"1251","Antarctica:Latady Island"
"1252","Hawaii:Eastern Island"
"1253","Canada:Southampton Island"
"1254","UK:Scotland:North Uist"
"1255","Vietnam:Bai Nha Mac"
"1256","Maldives:?"
"1257","Sweden:Orust"
"1258","Chile:Isla Wellington"
"1259","India:Agatti Island"
"1260","Thailand:?"
"1261","Marshall Islands:Rakaru"
"1262","Kiribati:Ocean Island"
"1263","USA:Florida:Big Pine Key"
"1264","Nicaragua:Isla de Ometepe"
"1265","Bangladesh:?"
"1266","Maldives:?"
"1267","Greece:Samos"
"1268","French Polynesia:Magareva"
"1269","Maldives:?"
"1270","Papua New Guinea:Misima"
"1271","Papua New Guinea:Tatau"
"1272","Indonesia:Sumba"
"1273","Maldives:?"
"1274","Indonesia:Lingga"
"1275","Cyprus"
"1276","USA:Florida:Summerland Key"
"1277","Antarctica:Bowman Island"
"1278","Italy:Isola di Pantelleria"
"1279","Indonesia:Mansaleang"
"1280","Canada:?"
"1281","Yugoslavia:Otok Brac"
"1282","Greece:Karpathos"
"1283","Fiji:Oneata"
"1284","Maldives:?"
"1285","Greenland:?"
"1286","Trinidad"
"1287","Falkland Islands:East Falkland"
"1288","Vanuatu:Ambrym"
"1289","Maldives:?"
"1290","South Sandwich Islands:Saunders Island"
"1291","Maldives:?"
"1292","Cuba:Cayo Guajaba"
"1293","Argentina:Isla de los Estados"
"1294","USA:Alaska:Saint Matthew Island"
"1295","Cape Verde:Sao Tiago"
"1296","Kenya:Mombasa Island"
"1297","UK:Saint Helena Island"
"1298","Malaysia:Jambongan"
"1299","Indonesia:Karakelong"
"1300","Maldives:?"
"1301","USSR:Ostrov Kunashir"
"1302","Antarctica:Joinville Island"
"1303","Canada:Chapman Lewes Island:North"
"1304","Australia:Phillip Island"
"1305","France:Uvea"
"1306","USA:Alaska:Wrangell Island"
"1307","Philippines:Culion"
"1308","Argentina:Isla Trinidad"
"1309","USA:Texas:Matagorda Island"
"1310","Canada:Bell Island"
"1311","Philippines:Marinduque"
"1312","Canada:Somerset Island"
"1313","Chile:Isla Chaffers"
"1314","Indonesia:Gebe"
"1315","Solomon Islands:Vella Lavella"
"1316","Brazil:Trindade"
"1317","Tanzania:Pemba Island"
"1318","Chile:Isla Guamblin"
"1319","USA:Florida:Sugarloaf Key"
"1320","USSR:Ostrov Plavnikovyye"
"1321","Yugoslavia:Otok Mljet"
"1322","Honduras:Isla de Guanaja"
"1323","Iraq:?"
"1324","UK:Scotland:Island of Skye"
"1325","Indonesia:?"
"1326","Australia:Groote Eylandt"
"1327","Greenland:?"
"1328","Maldives:?"
"1329","Bahamas:Long Island"
"1330","Iraq:?"
"1331","Bangladesh:?"
"1332","Bahamas:New Providence Island"
"1333","Indonesia:Roon"
"1334","Indonesia:Tanahbala"
"1335","Maldives:?"
"1336","Greenland:?"
"1337","Greenland:?"
"1338","Antarctica:Renaud Island"
"1339","Egypt:Ras Burun:East"
"1340","Northern Mariana Islands:Guguan"
"1341","Chile:Isla Jorge Montt"
"1342","Indonesia:Simeule"
"1343","Seychelles:Coetivy Island"
"1344","Indonesia:Timor"
"1345","Bangladesh:?"
"1346","Australia:Bickerton Island"
"1347","Australia:?"
"1348","Cook Islands:Rakahanga"
"1349","Maldives:?"
"1350","Antarctica:Burke Island"
"1351","Cook Islands:Manuaue"
"1352","USSR:Ostrov Isachenko"
"1353","Australia:Horn Island"
"1354","Greece:Tinos"
"1355","USSR:Ostrov Shumshu"
"1356","France:Clipperton"
"1357","Bahamas:Grand Bahama Island"
"1358","Chile:?"
"1359","Mexico:Isla Maria Cleofas"
"1360","Indonesia:Selayar"
"1361","Papua New Guinea:Simberi"
"1362","USA:Alaska:?"
"1363","Bangladesh:?"
"1364","USSR:Ostrov Kolosovykh"
"1365","Cook Islands:Nassau Island"
"1366","Maldives:?"
"1367","Greece:Andros"
"1368","USSR:Kihnu"
"1369","Mexico:Isla del Carmen"
"1370","Indonesia:?"
"1371","Seychelles:Mahe Island"
"1372","Canada:Kanuyak Island"
"1373","Philippines:Camiguin"
"1374","Indonesia:Wetar"
"1375","Indonesia:Banda Besar"
"1376","Canada:?"
"1377","Indonesia:Nias"
"1378","USA:Alaska:Etolin Island"
"1379","Greenland:?"
"1380","Canada:Ekalulia Island"
"1381","Germany:Borkum"
"1382","Chile:Isla Londonderry"
"1383","USA:Alaska:Amukta Island"
"1384","USA:Alaska:Unga Island"
"1385","USSR:Ostrova Petra"
"1386","South Sandwich Islands:Visokoi Island"
"1387","Indonesia:Adi"
"1388","Indonesia:Mandioli"
"1389","Japan:Hachijo Jima"
"1390","Maldives:?"
"1391","Vietnam:Bac Nha Mac"
"1392","USSR:Ostrov Ketoy"
"1393","Maldives:?"
"1394","Cuba:Cayo Media Luna"
"1395","Denmark:Lolland"
"1396","Greece:Khios"
"1397","Greenland:?"
"1398","Vanuatu:Ureparapara"
"1399","Marshall Islands:Bikini"
"1400","New Caledonia:Ile Ouvea"
"1401","Canada:Merasheen Island"
"1402","Indonesia:Wowoni"
"1403","Solomon Islands:Nggatokae"
"1404","Indonesia:Ternate"
"1405","Canada:Russell Island"
"1406","Fiji:Baqa"
"1407","Chile:Isla Javier"
"1408","Japan:Kita Iwo Jima"
"1409","Tunisia:Shergui Island"
"1410","New Caledonia:Mouly"
"1411","Indonesia:Sebangka"
"1412","Fiji:Vanua Levu"
"1413","India:?"
"1414","USA:Massachusettes:Nantucket Island"
"1415","California:San Nicolas Island"
"1416","Malawi:Likoma Island"
"1417","Australia:Bruny Island"
"1418","Greenland:Nuugaatsiaq"
"1419","Canary Islands:Tenerife"
"1420","Thailand:Ko Surin Tai"
"1421","Micronesia:Puluwat"
"1422","Antarctica:Steele Island"
"1423","Kiribati:Nuotea"
"1424","Maldives:Midu"
"1425","Maldives:?"
"1426","UK:Scotland:Barra"
"1427","Bahamas:Hog Cay"
"1428","Netherlands:Texel"
"1429","USA:Beaver Island"
"1430","Ethiopia:T'ana Hayk"
"1431","USSR:Zaliv"
"1432","Australia:Norfolk Island"
"1433","Indonesia:Selaru"
"1434","UK:Scotland:Island of Mull"
"1435","Kiribati:Maiana"
"1436","California:San Miguel Island"
"1437","Indonesia:?"
"1438","Japan:Rebun To"
"1439","Greenland:Quqertarsuaq"
"1440","Maldives:?"
"1441","Egypt:Ras Burun:West"
"1442","Kiribati:Caroline Island"
"1443","Micronesia:Pamuk Imwintiati"
"1444","USA:Alaska:Admiralty Island"
"1445","Indonesia:We"
"1446","Mexico:Isla de Cozumel"
"1447","Chile:?"
"1448","Maldives:?"
"1449","Canada:?"
"1450","Cuba:Caya Fragosa"
"1451","Canada:Byam Martin Island"
"1452","Australia:Elcho Island"
"1453","USA:Smith Island"
"1454","Indonesia:Maya"
"1455","Japan:Suwanose Jima"
"1456","Maldives:?"
"1457","Vietnam:Vung Ganh Rai"
"1458","Australia:Marchinbar Island"
"1459","Cook Islands:Ataiu"
"1460","Philippines:Camiguin-Babuyan"
"1461","Malawi:Chisamula Island"
"1462","USSR:Shikotan To"
"1463","Micronesia:Pulusuk Atoll"
"1464","Hawaii:Maui"
"1465","USA:Alaska:Unimak Island"
"1466","Indonesia:Tanahmasa"
"1467","India:Sagar Island"
"1468","Mexico:Tiburon Island"
"1469","Australia:Bernier Island"
"1470","Maldives:?"
"1471","USSR:Ladozhskoye Ozero"
"1472","Indonesia:?"
"1473","Solomon Islands:San Cristobal"
"1474","Maldives:?"
"1475","Indonesia:Kabaena"
"1476","Kiribati:Caroline Atoll"
"1477","India:Cheriyam Island"
"1478","Antarctica:?"
"1479","Canada:Belcher Island"
"1480","Canada:Jameson Island:East"
"1481","Maldives:?"
"1482","Canada:Smith Island"
"1483","Saint Lucia"
"1484","Greenland:?"
"1485","Maldives:?"
"1486","Chile:Isla Diego de Almagro"
"1487","Chile:Isla Byron"
"1488","Maldives:Gan"
"1489","Maldives:?"
"1490","China:Hainan"
"1491","USSR:Ostrov Bering"
"1492","Panama:Isla Parida"
"1493","Maldives:?"
"1494","Chile:Isla Juan Stuven"
"1495","USA:Texas:Galveston Island"
"1496","Greenland:?"
"1497","Sweden:Gotska Sandon"
"1498","Indonesia:Bakung"
"1499","Mexico:Isla Cedros"
"1500","UK:Henderson Island"
"1501","Canada:Crown Prince Frederik Island"
"1502","Canada:Cape Breton Island"
"1503","Solomon Islands:Shortland"
"1504","Norway:Senja"
"1505","Indonesia:?"
"1506","Micronesia:Ngatik"
"1507","Solomon Islands:Nendo"
"1508","Australia:Mulgrave Island"
"1509","French Polynesia:Moorea"
"1510","Antarctica:Henry Ice Rise"
"1511","Indonesia:Panaitan"
"1512","Cook Islands:Palmerston Island"
"1513","Canada:Flores Island"
"1514","USSR:Ostrov Feklistova"
"1515","Canada:Ellef Ringnes Island"
"1516","Thailand:Ko Surin Nua"
"1517","Canada:Bylot Island"
"1518","Chile:Isla Wager"
"1519","Marshall Islands:Rongelap Atoll"
"1520","Antarctica:Coulman Island"
"1521","Canada:Ile du Cap aux Meule"
"1522","Greenland:Northumberland O"
"1523","Indonesia:Tjombol"
"1524","Panama:Isla Boca Brava"
"1525","Australia:South Bruny Island"
"1526","Indonesia:Klabat"
"1527","Greece:Klimnos"
"1528","Tanzania:Mafia Island"
"1529","Mexico:Isla Maria Magdalena"
"1530","Solomon Islands:Vanikoro"
"1531","Micronesia:?"
"1532","Maldives:?"
"1533","Norway:Svalbard:Svenskoya"
"1534","Iraq:?"
"1535","Japan:Tanega Shima"
"1536","Greenland:?"
"1537","New Caledonia:Matthew Island"
"1538","Indonesia:Cut"
"1539","Vietnam:Dao Cat Ba"
"1540","Micronesia:Fefan"
"1541","Kenya:Patta Island"
"1542","Netherlands:Flevoland"
"1543","France:Corsica"
"1544","Greenland:?"
"1545","Fiji:Ndoi Island"
"1546","Chile:Isla Santa Ines"
"1547","Myanmar:Maungmagan Island"
"1548","Indonesia:?"
"1549","Chagos Archipelago:?"
"1550","Greenland:Trail O"
"1551","Solomon Islands:Malaita"
"1552","India:Kalpeni Island"
"1553","Brazil:Ilha Grande de Gurupa"
"1554","Philippines:Calayan"
"1555","USA:Alaska:Saint George Island"
"1556","Indonesia:Tambelan"
"1557","Philippines:Panay"
"1558","Fiji:Viti Levu"
"1559","USSR:Ostrov Sverdrup"
